Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
6500,42,1+1,1,11-15,Klimalı,Var,Eşyalı,Hayır
6750,105,3+1,2,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Hayır
12750,92,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4750,65,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
4750,60,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
15000,100,3+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
5000,120,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
23000,122,3+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
15000,145,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Var,Boş,Hayır
20000,230,5+1,3,4,Merkezi (Pay Ölçer),Var,Boş,Hayır
3750,65,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
12000,300,5+2,3,11-15,Kombi Doğalgaz,Var,Boş,Hayır
15000,120,3+1,2,5-10,Kombi Doğalgaz,Var,Eşyalı,Hayır
14750,105,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
7500,120,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
15000,120,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
19500,110,3+1,2,4,Merkezi Doğalgaz,Var,Boş,Evet
14750,200,5+1,3,5-10,Merkezi (Pay Ölçer),Var,Boş,Hayır
13000,250,5+1,3,11-15,Kombi Doğalgaz,Var,Boş,Hayır
20000,110,2+1,2,5-10,Yerden Isıtma,Yok,Eşyalı,Hayır
7500,140,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
6700,75,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
11000,95,3+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
8500,145,4+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
12000,107,3+1,2,2,Merkezi (Pay Ölçer),Yok,Boş,Hayır
5500,140,3+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
14000,160,4+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
9250,100,4+1,2,3,Merkezi (Pay Ölçer),Var,Boş,Hayır
22500,180,4+1,3,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
16250,250,4+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
7500,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
40000,242,4+1,2,5-10,Yerden Isıtma,Var,Boş,Evet
9000,80,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Eşyalı,Hayır
20000,190,5+2,3,5-10,Merkezi (Pay Ölçer),Var,Boş,Hayır
7200,115,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
7500,115,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
13500,125,3+1,2,2,Kombi Doğalgaz,Yok,Boş,Hayır
10000,96,3+1,2,2,Merkezi Doğalgaz,Yok,Boş,Hayır
5000,171,4+1,1,21 Ve Üzeri,Isıtma Yok,Yok,Boş,Hayır
8000,75,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
