Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
2250,55,1+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
2950,88,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5000,85,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
2500,100,3+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
20000,176,1 Oda,0,0 (Yeni),Isıtma Yok,Yok,Boş,Hayır
3300,75,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
1700,120,3+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
3700,90,2+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Evet
4000,125,4+1,2,4,Kombi Doğalgaz,Yok,Boş,Hayır
2500,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3000,51,1+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
5250,108,3+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
2250,90,2+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
2200,85,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4250,84,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
2800,110,3+1,1,3,Kombi Doğalgaz,Yok,Boş,Hayır
3500,55,1+1,1,1,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3500,140,3+2,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
1300,80,2+1,1,21 Ve Üzeri,Sobalı,Yok,Boş,Hayır
2500,48,1+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
1200,85,2+1,1,21 Ve Üzeri,Sobalı,Yok,Boş,Hayır
3000,85,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
2800,105,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
6000,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3250,60,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4600,85,2+1,2,3,Kombi Doğalgaz,Var,Boş,Hayır
1500,100,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
2650,125,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3100,78,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3000,110,1+1,2,3,Kombi Doğalgaz,Var,Eşyalı,Hayır
4600,75,2+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3950,138,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
2500,65,2+1,1,0 (Yeni),Merkezi Doğalgaz,Yok,Boş,Evet
2600,80,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
