Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
12500,56,1+1,1,4,Yerden Isıtma,Yok,Eşyalı,Hayır
14500,105,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
9500,57,1+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
13250,60,1+1,1,4,Yerden Isıtma,Yok,Eşyalı,Hayır
10000,90,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Var,Boş,Hayır
20000,92,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
3000,65,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,25,1+1,0,21 Ve Üzeri,Isıtma Yok,Yok,Boş,Hayır
16000,200,4+1,3,21 Ve Üzeri,Merkezi (Pay Ölçer),Var,Boş,Evet
22000,85,2+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
5000,120,2+1,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
11000,100,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
12000,200,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Evet
8500,125,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
9600,60,1+1,1,3,Merkezi (Pay Ölçer),Yok,Boş,Hayır
9600,60,1+1,1,3,Merkezi (Pay Ölçer),Yok,Boş,Hayır
5000,110,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4300,130,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
12000,140,3+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,100,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
6500,135,3+1,2,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Hayır
13000,115,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
5500,140,4+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
40000,300,4+1,3,2,Merkezi (Pay Ölçer),Yok,Boş,Hayır
8000,109,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3800,70,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
14000,60,1+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
7000,136,3+1,1,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Evet
7800,52,Stüdyo,1,1,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
7500,135,3+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6000,89,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
2000,95,2+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
2700,90,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4300,59,1+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
3600,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Evet
20000,110,2+1,2,4,Merkezi (Pay Ölçer),Var,Eşyalı,Hayır
1750,79,1+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
13000,60,1+1,1,3,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
15000,101,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
18000,140,3+1,2,4,Merkezi (Pay Ölçer),Var,Boş,Hayır
17000,85,2+1,2,4,Yerden Isıtma,Var,Eşyalı,Hayır
12500,200,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
20000,130,3+1,1,5-10,Merkezi (Pay Ölçer),Var,Boş,Hayır
15000,110,2+1,2,2,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
15000,100,3+1,2,5-10,Merkezi (Pay Ölçer),Var,Boş,Evet
13000,75,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Var,Eşyalı,Evet
7000,60,1+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
5000,90,2+1,1,5-10,Kombi Doğalgaz,Var,Eşyalı,Hayır
6500,60,1+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
6500,60,1+1,2,0 (Yeni),Yerden Isıtma,Yok,Boş,Hayır
13000,75,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Var,Eşyalı,Evet
8000,180,4+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
8000,45,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
7500,42,Stüdyo,1,2,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
9900,88,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
9000,140,3+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5500,160,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
5800,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5000,90,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,99,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5500,99,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
22000,170,3+1,2,5-10,Merkezi (Pay Ölçer),Var,Boş,Evet
7000,60,1+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
7000,50,1+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
9000,65,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
9000,65,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
18000,160,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
29500,110,3+1,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
22000,160,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4500,115,2+1,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
10000,95,2+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
22000,170,4+1,2,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
33000,170,3+1,3,11-15,Kombi Doğalgaz,Var,Boş,Evet
30500,172,4+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
25000,165,4+1,3,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
13000,75,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Var,Eşyalı,Evet
3000,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5500,140,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
8500,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7500,170,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
5000,150,4+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
16000,150,6+1,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
5600,125,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
15000,75,1+1,1,4,Merkezi (Pay Ölçer),Var,Eşyalı,Hayır
12000,179,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
17500,150,3+2,3,5-10,Yerden Isıtma,Yok,Boş,Hayır
2000,80,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
12000,120,2+1,2,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,100,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
15000,60,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
15000,180,3+1,2,2,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4500,90,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
33500,180,3+1,2,4,Merkezi (Pay Ölçer),Var,Eşyalı,Hayır
3000,85,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
25000,150,3+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
27500,109,3+1,2,11-15,Merkezi (Pay Ölçer),Var,Boş,Evet
27500,109,3+1,2,11-15,Merkezi (Pay Ölçer),Var,Boş,Evet
20000,120,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
27500,109,3+1,2,11-15,Merkezi (Pay Ölçer),Var,Boş,Evet
16000,120,2+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
28000,168,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
22000,164,3+1,2,4,Yerden Isıtma,Yok,Boş,Hayır
22500,164,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
11000,55,1+1,1,5-10,Merkezi (Pay Ölçer),Var,Boş,Evet
18000,100,2+1,2,5-10,Merkezi (Pay Ölçer),Var,Boş,Evet
15000,101,3+1,2,0 (Yeni),Doğalgaz Sobalı,Yok,Boş,Hayır
48000,220,4+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
11000,55,1+1,1,5-10,Merkezi (Pay Ölçer),Var,Boş,Evet
27500,109,3+1,2,11-15,Merkezi (Pay Ölçer),Var,Boş,Evet
11000,55,1+1,1,5-10,Merkezi (Pay Ölçer),Var,Boş,Evet
5000,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
2500,85,2+1,1,11-15,Doğalgaz Sobalı,Var,Boş,Hayır
13000,80,1+1,1,5-10,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
5500,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
16000,100,2+1,2,4,Merkezi (Pay Ölçer),Var,Eşyalı,Hayır
22500,180,3+1,1,0 (Yeni),Merkezi (Pay Ölçer),Var,Boş,Evet
8000,42,Stüdyo,1,2,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
15000,120,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
10500,71,2+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
22500,180,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Evet
13000,110,2+1,2,2,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
22500,180,3+1,1,0 (Yeni),Merkezi (Pay Ölçer),Var,Boş,Evet
18500,250,4+2,2,5-10,Merkezi (Pay Ölçer),Var,Boş,Hayır
10000,200,4+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
18500,250,4+2,2,11-15,Merkezi (Pay Ölçer),Var,Boş,Hayır
15000,74,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
7500,90,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
11000,71,2+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
7000,150,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
9000,70,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
9000,70,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
12000,110,2+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
7900,56,Stüdyo,1,1,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
