Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
7500,64,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
7000,64,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
32500,220,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
7500,70,1+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
20000,230,3+2,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
33000,350,6+2,4,4,Kombi Doğalgaz,Yok,Boş,Hayır
35000,450,6+2,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
11000,200,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
15000,130,3+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
10000,150,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
17500,170,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7500,150,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
33000,330,6+2,4,1,Kombi Doğalgaz,Yok,Boş,Hayır
3750,85,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
10000,105,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6500,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
6500,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
4500,120,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
15000,230,4+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7000,110,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
10000,180,4+2,2,4,Kombi Doğalgaz,Var,Eşyalı,Hayır
5500,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6200,115,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6000,95,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5500,75,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
12000,170,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
21000,250,4+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4250,120,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Evet
4500,37,1+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Evet
12500,230,5+1,3,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
13500,230,4+1,2,21 Ve Üzeri,Merkezi (Pay Ölçer),Var,Boş,Hayır
37000,207,3+1,2,4,Yerden Isıtma,Var,Boş,Evet
5000,52,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
25000,270,3+1,3,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7200,102,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Evet
4800,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6750,150,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
11500,165,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
22000,220,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
10500,280,4+2,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
19500,125,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
28500,260,4+1,2,5-10,Kombi Doğalgaz,Var,Boş,Evet
5000,80,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
13000,180,4+1,3,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
8300,119,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4800,110,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4700,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
14000,160,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
12500,240,4+1,3,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
15000,250,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
