Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
2200,60,1+1,1,3,Kombi Doğalgaz,Yok,Boş,Hayır
4000,70,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4500,100,2+1,1,1,Merkezi Doğalgaz,Var,Boş,Hayır
3750,100,2+1,1,1,Merkezi Doğalgaz,Var,Boş,Hayır
7500,124,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Var,Boş,Evet
3300,55,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3250,58,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4000,145,3+2,2,1,Kombi Doğalgaz,Yok,Boş,Hayır
3500,80,2+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
6000,115,3+1,1,16-20,Kombi Doğalgaz,Yok,Boş,Hayır
5000,60,1+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
4250,60,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Evet
8000,125,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
2500,130,2+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3500,85,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
5000,75,1+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
5000,70,2+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4850,85,2+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
7000,135,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3000,120,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
5000,60,1+1,1,1,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
8000,135,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Evet
3000,100,2+1,1,3,Kombi Doğalgaz,Yok,Boş,Evet
3000,85,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
3000,100,2+1,2,4,Kombi Doğalgaz,Var,Boş,Evet
3500,52,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
4300,135,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3000,60,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3750,95,2+1,1,4,Kombi Doğalgaz,Var,Eşyalı,Hayır
3500,50,1+1,1,4,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3200,64,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3000,100,2+1,2,4,Merkezi (Pay Ölçer),Var,Boş,Evet
4500,86,2+1,1,1,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4000,130,2+1,2,5-10,Merkezi (Pay Ölçer),Var,Boş,Evet
5100,90,2+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
5000,90,2+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
8000,145,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
6000,120,3+1,2,5-10,Kombi Doğalgaz,Var,Boş,Evet
8000,95,3+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,90,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
5000,130,3+1,2,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,130,3+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
5000,125,3+1,2,2,Merkezi (Pay Ölçer),Yok,Boş,Hayır
2500,105,1 Oda,1,5-10,Kombi Doğalgaz,Yok,Boş,Evet
3500,70,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
2498,32,Stüdyo,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3750,65,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
6000,130,2+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
6750,162,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
8500,130,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
5000,122,3+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
6000,130,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
2600,120,3+1,2,4,Kombi Doğalgaz,Var,Boş,Hayır
5000,120,3+1,0,11-15,Kombi Doğalgaz,Yok,Boş,Evet
4000,130,3+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Evet
3500,60,1+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,60,1+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,60,1+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3600,60,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Evet
3300,63,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,150,3+1,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
5800,140,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3500,85,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
3500,50,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
4500,120,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
3500,96,2+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3800,78,1+1,1,4,Merkezi Doğalgaz,Yok,Eşyalı,Evet
5000,80,2+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3700,55,1+1,1,2,Merkezi Doğalgaz,Var,Boş,Evet
2500,70,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
3000,39,Stüdyo,1,1,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,85,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Evet
2750,80,2+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
4000,145,3+1,2,5-10,Kombi Doğalgaz,Var,Boş,Evet
3750,165,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4000,60,1+1,1,4,Merkezi (Pay Ölçer),Var,Boş,Evet
2250,75,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
