Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
25000,140,3+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
8500,125,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
8500,125,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
25000,140,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Var,Boş,Hayır
47000,196,4+1,4,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
35000,230,4+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
8500,125,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
8500,125,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
8000,110,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
7500,90,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
14000,220,4+2,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
8500,110,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
8500,120,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
8500,120,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
8500,120,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
9000,120,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
10000,120,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
14000,95,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
34500,160,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
20000,135,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
14500,70,2+1,1,5-10,Kombi Doğalgaz,Var,Eşyalı,Hayır
10000,80,1+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
17500,145,2+1,2,11-15,Kombi Doğalgaz,Var,Eşyalı,Hayır
40000,240,4+1,3,11-15,Merkezi Doğalgaz,Var,Eşyalı,Hayır
9000,120,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
15000,230,4+2,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
10500,110,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
42500,180,3+1,3,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
40000,130,2+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
6200,75,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
25000,135,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
47500,220,2+1,2,11-15,Merkezi Doğalgaz,Var,Eşyalı,Hayır
35000,87,2+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
8000,70,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4250,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
36000,90,2+1,2,4,Merkezi Doğalgaz,Var,Boş,Hayır
20000,120,2+1,2,4,Merkezi Doğalgaz,Var,Eşyalı,Hayır
12000,210,3+2,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
23000,200,5+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
27000,240,5+1,3,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
13500,75,2+1,2,4,Kombi Doğalgaz,Var,Eşyalı,Hayır
40000,120,2+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
26000,165,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
28000,165,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
45000,165,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
15000,225,4+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Eşyalı,Hayır
45000,160,2+2,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
21000,120,2+1,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
16500,160,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Eşyalı,Hayır
30000,180,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Evet
27000,300,5+2,3,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
25000,100,2+1,2,4,Merkezi (Pay Ölçer),Var,Eşyalı,Evet
9500,70,1+1,1,4,Kombi Doğalgaz,Var,Eşyalı,Hayır
25000,250,4+1,3,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
30000,250,4+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
35000,230,4+1,4,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
20000,90,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
16000,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
32000,120,3+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
1500,95,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
25000,270,4+1,3,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
