Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
3850,70,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
7000,170,4+2,3,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
4250,150,3+1,1,16-20,Kombi Doğalgaz,Var,Boş,Hayır
5000,60,1+1,1,5-10,Klimalı,Yok,Eşyalı,Hayır
3000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4000,160,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
10000,150,3+1,1,16-20,Kombi Doğalgaz,Yok,Boş,Hayır
4500,120,3+1,1,11-15,Kombi Doğalgaz,Var,Eşyalı,Hayır
5000,115,3+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
6900,105,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4500,150,4+2,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
5000,75,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
2450,75,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3100,85,2+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
2600,90,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
3100,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
3750,110,3+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
4000,79,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
7500,150,4+2,2,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
2000,60,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
4000,130,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6000,78,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
3000,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
3000,85,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5500,135,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6000,95,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6750,120,3+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
4750,110,3+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
3250,85,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4500,105,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
10000,180,4+2,3,4,Kombi Doğalgaz,Yok,Boş,Hayır
6500,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3750,144,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5000,70,1+1,1,5-10,Merkezi (Pay Ölçer),Var,Eşyalı,Hayır
4500,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7000,115,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4950,95,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
8500,80,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
8500,105,3+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
8000,160,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4500,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4500,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
8000,90,2+1,2,2,Kombi Doğalgaz,Var,Boş,Hayır
5100,125,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6750,76,2+1,1,4,Kombi Doğalgaz,Var,Boş,Hayır
5500,110,3+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
4500,85,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
3000,135,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
10000,230,5+1,2,5-10,Kombi Doğalgaz,Var,Boş,Hayır
3000,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
5250,160,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
6500,97,2+1,2,0 (Yeni),Merkezi Doğalgaz,Var,Boş,Evet
5200,95,2+1,2,0 (Yeni),Merkezi Doğalgaz,Var,Boş,Evet
4900,65,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
1700,85,2+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
3000,72,2+1,1,11-15,Kombi Doğalgaz,Var,Eşyalı,Hayır
6000,125,3+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
1750,50,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,85,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
9000,80,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
4500,90,3+1,0,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
10000,110,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5000,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
7000,140,3+1,1,3,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,55,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3400,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4000,140,4+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
8500,250,5+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
3500,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,125,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
9500,120,3+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4100,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7200,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3600,100,3+1,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
2800,70,2+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
6900,75,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
1800,85,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
3000,120,3+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Evet
3500,95,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
3400,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
3600,100,3+1,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
3400,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7250,110,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
3900,115,3+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
4000,40,1+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
6000,110,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
3200,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Evet
4500,135,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
2500,75,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,100,2+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
5500,45,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Eşyalı,Evet
4500,90,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4250,110,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
4000,98,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4500,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,140,4+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
7000,150,4+1,2,2,Kombi Doğalgaz,Yok,Boş,Hayır
3350,85,2+1,1,0 (Yeni),Kombi Doğalgaz,Var,Boş,Hayır
3500,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
3300,80,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
6500,175,5+1,2,3,Kombi Doğalgaz,Var,Boş,Hayır
6000,70,2+1,1,1,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4000,120,3+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
7500,30,Stüdyo,1,5-10,Kat Kaloriferi,Yok,Boş,Hayır
7000,130,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4000,120,2+2,2,5-10,Merkezi Doğalgaz,Var,Eşyalı,Hayır
2000,1,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
2888,1,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
2000,1,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
3500,45,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6000,95,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
11000,196,4+1,3,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
12000,350,7+2,4,5-10,Kombi Doğalgaz,Var,Boş,Hayır
2850,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
7250,265,5+2,4,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
12000,350,7+2,4,5-10,Kombi Doğalgaz,Var,Boş,Hayır
2000,95,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
5000,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
1750,130,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
