Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
3000,120,3+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
2000,95,2+1,1,16-20,Doğalgaz Sobalı,Var,Boş,Hayır
3000,25,Stüdyo,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3000,103,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
6000,150,2+2,2,4,Kombi Doğalgaz,Var,Boş,Hayır
4200,125,2+2,2,4,Merkezi Doğalgaz,Var,Boş,Hayır
3750,79,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
3250,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3100,80,2+1,1,4,Kombi Doğalgaz,Yok,Boş,Hayır
3200,105,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
2750,85,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
5000,140,3+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4750,116,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3000,56,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4200,65,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Evet
2500,75,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3500,100,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4100,45,1+1,1,0 (Yeni),Yerden Isıtma,Yok,Boş,Evet
3500,100,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
2500,50,1 Oda,1,21 Ve Üzeri,Sobalı,Yok,Boş,Hayır
2100,60,1+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
20000,230,4+1,3,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Evet
