Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
4600,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
3900,115,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
4000,90,2+1,2,11-15,Kombi Doğalgaz,Var,Boş,Evet
11500,200,4+1,3,3,Kombi Doğalgaz,Yok,Boş,Hayır
4000,50,1+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
11500,200,4+1,3,3,Kombi Doğalgaz,Yok,Boş,Hayır
3750,130,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5000,140,3+1,2,11-15,Yerden Isıtma,Yok,Boş,Hayır
5000,100,3+1,1,3,Kombi Doğalgaz,Yok,Boş,Hayır
5500,135,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
3500,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4500,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5500,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4800,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
12000,190,4+2,3,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
4500,130,1+1,1,11-15,Isıtma Yok,Yok,Boş,Hayır
8500,190,5+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5500,130,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4000,85,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
4800,110,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
8000,230,4+2,2,11-15,Kombi Doğalgaz,Var,Boş,Hayır
5000,130,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
18000,96,3+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
1750,15,Stüdyo,1,4,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
1850,15,1 Oda,1,1,Merkezi Doğalgaz,Yok,Boş,Hayır
1700,15,1 Oda,1,1,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
40000,145,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Eşyalı,Evet
